"date","number","category","rank","songId"
"2024-04-14","14","national","2","tedigoadioscumbia-7a0cc06fea"
"2024-04-14","14","national","3","elamorqueespere-86e71a5cbb"
"2024-04-14","14","national","4","dilealamor-563b60e9a8"
"2024-04-14","14","national","5","fuerafuera-7146038232"
"2024-04-14","14","national","6","noteinstales-0c505ecf21"
"2024-04-14","14","national","7","unacopiademi-874f23c606"
"2024-04-14","14","national","8","fueculpadeusted-94bf8fc961"
"2024-04-14","14","national","9","lamanodeorula-d113d28c2e"
"2024-04-14","14","national","10","lachicadelescenario-2180b97d75"
"2024-04-14","14","international","1","puntacana-27ce381bef"
"2024-04-14","14","international","2","beautifulthings-76867bed2c"
"2024-04-14","14","international","3","contigo-0937d7804b"
"2024-04-14","14","international","4","vocation-a1301068d1"
"2024-04-14","14","international","5","lafuerte-97999605bd"
"2024-04-14","14","international","6","whatever-32f8c484a3"
"2024-04-14","14","international","7","trainingseason-80ba3e9377"
"2024-04-14","14","international","8","punteria-1ef0e937a3"
"2024-04-14","14","international","9","plis-f1de299425"
"2024-04-14","14","international","10","yesand-a3e85abb02"
"2024-04-21","15","national","1","elamorqueespere-86e71a5cbb"
"2024-04-21","15","national","2","lavidaesbuena-e8b327aa2c"
"2024-04-21","15","national","3","tedigoadioscumbia-7a0cc06fea"
"2024-04-21","15","national","4","noteinstales-0c505ecf21"
"2024-04-21","15","national","5","fuerafuera-7146038232"
"2024-04-21","15","national","6","blablabla-b04f4e20be"
"2024-04-21","15","national","7","unacopiademi-874f23c606"
"2024-04-21","15","national","8","fueculpadeusted-94bf8fc961"
"2024-04-21","15","national","9","lamanodeorula-d113d28c2e"
"2024-04-21","15","national","10","silencioremix-df7b7a94c2"
"2024-04-21","15","international","1","punteria-1ef0e937a3"
"2024-04-21","15","international","2","beautifulthings-76867bed2c"
"2024-04-21","15","international","3","puntacana-27ce381bef"
"2024-04-21","15","international","4","contigo-0937d7804b"
"2024-04-21","15","international","5","vocation-a1301068d1"
"2024-04-21","15","international","6","whatever-32f8c484a3"
"2024-04-21","15","international","7","doctorworkitout-428bd0cf68"
"2024-04-21","15","international","8","trainingseason-80ba3e9377"
"2024-04-21","15","international","9","plis-f1de299425"
"2024-04-21","15","international","10","texasholdem-714295b0ce"
"2024-04-28","16","national","1","elamorqueespere-86e71a5cbb"
"2024-04-28","16","national","2","lavidaesbuena-e8b327aa2c"
"2024-04-28","16","national","3","noteinstales-0c505ecf21"
"2024-04-28","16","national","4","fuerafuera-7146038232"
"2024-04-28","16","national","5","tedigoadioscumbia-7a0cc06fea"
"2024-04-28","16","national","6","blablabla-b04f4e20be"
"2024-04-28","16","national","7","unacopiademi-874f23c606"
"2024-04-28","16","national","8","fueculpadeusted-94bf8fc961"
"2024-04-28","16","national","9","lamanodeorula-d113d28c2e"
"2024-04-28","16","national","10","silencioremix-df7b7a94c2"
"2024-04-28","16","international","1","punteria-1ef0e937a3"
"2024-04-28","16","international","2","beautifulthings-76867bed2c"
"2024-04-28","16","international","3","contigo-0937d7804b"
"2024-04-28","16","international","4","puntacana-27ce381bef"
"2024-04-28","16","international","5","vocation-a1301068d1"
"2024-04-28","16","international","6","whatever-32f8c484a3"
"2024-04-28","16","international","7","doctorworkitout-428bd0cf68"
"2024-04-28","16","international","8","texasholdem-714295b0ce"
"2024-04-28","16","international","9","trainingseason-80ba3e9377"
"2024-04-28","16","international","10","plis-f1de299425"
"2024-05-05","17","national","1","elamorqueespere-86e71a5cbb"
"2024-05-05","17","national","2","noteinstales-0c505ecf21"
"2024-05-05","17","national","3","lavidaesbuena-e8b327aa2c"
"2024-05-05","17","national","4","fuerafuera-7146038232"
"2024-05-05","17","national","5","tedigoadioscumbia-7a0cc06fea"
"2024-05-05","17","national","6","blablabla-b04f4e20be"
"2024-05-05","17","national","7","unacopiademi-874f23c606"
"2024-05-05","17","national","8","fueculpadeusted-94bf8fc961"
"2024-05-05","17","national","9","silencioremix-df7b7a94c2"
"2024-05-05","17","national","10","lasredes-b5eadcc555"
"2024-05-05","17","international","1","fortnightcyrilremix-227943921e"
"2024-05-05","17","international","2","punteria-1ef0e937a3"
"2024-05-05","17","international","3","beautifulthings-76867bed2c"
